date,usdt_close,krw_close,usdkrw,usd_ffill,greed,greed_ffill,kimchi_pct
2020-03-13,0.1587,206.0,1202.0,False,10.0,False,7.990568124749009
2020-03-14,0.1458,192.0,1222.2,True,8.0,False,7.746066763503445
2020-03-15,0.1529,197.0,1222.2,True,12.0,False,5.418409950042369
2020-03-16,0.1408,180.0,1222.2,False,9.0,False,4.599009238184482
2020-03-17,0.1469,187.0,1219.6,False,8.0,False,4.376419547213994
2020-03-18,0.1473,184.0,1241.2,False,11.0,False,0.6406213114391823
2020-03-19,0.1648,204.0,1237.8,False,12.0,False,0.0051767385605749
2020-03-20,0.1568,196.0,1280.1,False,9.0,False,-2.351378798531356
2020-03-21,0.158,198.0,1254.1,True,9.0,False,-0.0745907852623073
2020-03-22,0.1476,187.0,1254.1,True,11.0,False,1.0236559585913296
2020-03-23,0.1583,197.0,1254.1,False,10.0,False,-0.767680365948642
2020-03-24,0.162,201.0,1274.6,False,12.0,False,-2.656461576907198
2020-03-25,0.1617,200.0,1256.0,False,13.0,False,-1.5240143538596709
2020-03-26,0.1758,216.0,1230.7,False,14.0,False,-0.1650327472558665
2020-03-27,0.1728,213.0,1227.9,False,12.0,False,0.385934431866497
2020-03-28,0.1753,216.0,1212.4,True,8.0,False,1.6309317881416652
2020-03-29,0.1625,199.0,1212.4,True,12.0,False,1.0075374971448836
2020-03-30,0.1709,209.0,1212.4,False,10.0,False,0.8691347976507169
2020-03-31,0.1736,211.0,1222.6,False,12.0,False,-0.5858180910818578
2020-04-01,0.1747,212.0,1220.0,False,12.0,False,-0.5320596432291325
2020-04-02,0.1783,214.0,1222.2,False,14.0,False,-1.7980411554313958
2020-04-03,0.1795,217.0,1237.6,False,14.0,False,-2.317901662486288
2020-04-04,0.1811,219.0,1229.8,True,12.0,False,-1.6688369865979549
2020-04-05,0.179,217.0,1229.8,True,12.0,False,-1.4237678652385677
2020-04-06,0.1979,238.0,1229.8,False,12.0,False,-2.209498317469205
2020-04-07,0.1925,232.0,1233.4,False,20.0,False,-2.286784076957593
2020-04-08,0.2019,241.0,1222.4,False,21.0,False,-2.351093927064618
2020-04-09,0.198,239.0,1219.7,False,22.0,False,-1.0354425620474728
2020-04-10,0.1876,229.0,1216.4,False,15.0,False,0.3520472518788953
2020-04-11,0.1881,232.0,1212.3,True,15.0,False,1.739379406449837
2020-04-12,0.1893,233.0,1212.3,True,10.0,False,1.5301906994074963
2020-04-13,0.1874,229.0,1212.3,False,11.0,False,0.7988995049057257
2020-04-14,0.186,228.0,1218.7,False,15.0,False,0.5831173884387697
2020-04-15,0.1805,221.0,1216.7,True,18.0,False,0.6309469303804605
2020-04-16,0.1904,230.0,1216.7,False,13.0,False,-0.7164302393925626
2020-04-17,0.1886,228.0,1227.5,False,15.0,False,-1.5146442972443497
2020-04-18,0.1951,235.0,1219.3,True,18.0,False,-1.2129494437721489
2020-04-19,0.1889,231.0,1219.3,True,16.0,False,0.292728859649527
2020-04-20,0.1813,224.0,1219.3,False,15.0,False,1.3303727976081037
2020-04-21,0.1833,225.0,1218.7,False,17.0,False,0.7217451667327568
2020-04-22,0.188,228.0,1231.3,False,19.0,False,-1.5052418219111074
2020-04-23,0.1925,233.0,1235.2,False,19.0,False,-2.0086131485095304
2020-04-24,0.1931,235.0,1232.0,False,20.0,False,-1.218667401992091
2020-04-25,0.1941,236.0,1235.8,True,24.0,False,-1.612873505255663
2020-04-26,0.1961,240.0,1235.8,True,21.0,False,-0.9657408311400606
2020-04-27,0.1974,241.0,1235.8,False,28.0,False,-1.2080168915434508
2020-04-28,0.2143,261.0,1230.3,False,26.0,False,-1.0063557333193085
2020-04-29,0.2266,272.0,1225.2,False,26.0,False,-2.027991755367342
2020-04-30,0.2116,257.0,1218.5,True,44.0,False,-0.3236958887597008
2020-05-01,0.2178,265.0,1218.5,True,40.0,False,-0.1466901642228957
2020-05-02,0.2238,271.0,1218.5,True,40.0,False,-0.6235049979776419
2020-05-03,0.2194,269.0,1218.5,True,45.0,False,0.6213461639888562
2020-05-04,0.2181,267.0,1218.5,False,44.0,False,0.4685333118097379
2020-05-05,0.2169,265.0,1227.8,True,40.0,False,-0.4918406688870891
2020-05-06,0.2118,262.0,1227.8,False,42.0,False,0.7506151555689566
2020-05-07,0.2187,264.0,1223.3,False,49.0,False,-1.3215843223321475
2020-05-08,0.2189,265.0,1226.5,False,55.0,False,-1.29649842810019
2020-05-09,0.2167,263.0,1217.7,True,56.0,False,-0.3318192486087779
2020-05-10,0.1971,242.0,1217.7,True,48.0,False,0.8296908607509978
2020-05-11,0.1926,235.0,1217.7,False,40.0,False,0.2008194977320965
2020-05-12,0.197,239.0,1217.8,False,39.0,False,-0.3778970649411017
2020-05-13,0.2015,245.0,1226.7,False,41.0,False,-0.8819684274681605
2020-05-14,0.2036,246.0,1226.3,False,40.0,False,-1.471787207257058
2020-05-15,0.1979,241.0,1227.9,False,44.0,False,-0.8236207353694014
2020-05-16,0.1996,241.0,1229.3,True,41.0,False,-1.7802953177158851
2020-05-17,0.2011,241.0,1229.3,True,40.0,False,-2.512913701720987
2020-05-18,0.2053,247.0,1229.3,False,50.0,False,-2.129879672451296
2020-05-19,0.2049,247.0,1231.6,False,50.0,False,-2.1219486022142298
2020-05-20,0.2019,245.0,1224.5,False,52.0,False,-0.9006112005365163
2020-05-21,0.1942,237.0,1227.8,False,49.0,False,-0.6034086068892552
2020-05-22,0.2004,244.0,1230.7,False,42.0,False,-1.0672893264417782
2020-05-23,0.1988,242.0,1236.2,True,40.0,False,-1.5285695730767102
2020-05-24,0.1923,235.0,1236.2,True,43.0,False,-1.1447272322214652
2020-05-25,0.1961,238.0,1236.2,False,41.0,False,-1.8228040215689576
2020-05-26,0.1936,235.0,1242.0,False,39.0,False,-2.267071239403251
2020-05-27,0.1978,240.0,1237.1,False,39.0,False,-1.920069924451473
